"iso3c","country","AG.LND.AGRI.K2","AG.LND.AGRI.ZS","AG.LND.ARBL.ZS","AG.LND.EL5M.RU.K2","AG.LND.EL5M.RU.ZS","AG.LND.EL5M.UR.K2","AG.LND.EL5M.UR.ZS","AG.LND.EL5M.ZS","AG.LND.FRST.K2","AG.LND.FRST.ZS","AG.LND.IRIG.AG.ZS","AG.LND.PRCP.MM","AG.YLD.CREL.KG","BX.KLT.DINV.WD.GD.ZS","EG.ELC.ACCS.ZS","EG.ELC.COAL.ZS","EG.ELC.HYRO.ZS","EG.ELC.NGAS.ZS","EG.ELC.NUCL.ZS","EG.ELC.PETR.ZS","EG.ELC.RNEW.ZS","EG.ELC.RNWX.KH","EG.ELC.RNWX.ZS","EG.FEC.RNEW.ZS","EG.USE.COMM.GD.PP.KD","EG.USE.ELEC.KH.PC","EG.USE.PCAP.KG.OE","EN.ATM.CO2E.EG.ZS","EN.ATM.CO2E.GF.KT","EN.ATM.CO2E.GF.ZS","EN.ATM.CO2E.KD.GD","EN.ATM.CO2E.KT","EN.ATM.CO2E.LF.KT","EN.ATM.CO2E.LF.ZS","EN.ATM.CO2E.PC","EN.ATM.CO2E.PP.GD","EN.ATM.CO2E.PP.GD.KD","EN.ATM.CO2E.SF.KT","EN.ATM.CO2E.SF.ZS","EN.ATM.GHGO.KT.CE","EN.ATM.GHGO.ZG","EN.ATM.GHGT.KT.CE","EN.ATM.GHGT.ZG","EN.ATM.HFCG.KT.CE","EN.ATM.METH.KT.CE","EN.ATM.METH.ZG","EN.ATM.NOXE.KT.CE","EN.ATM.NOXE.ZG","EN.ATM.PFCG.KT.CE","EN.ATM.SF6G.KT.CE","EN.CLC.DRSK.XQ","EN.CLC.GHGR.MT.CE","EN.CLC.MDAT.ZS","EN.POP.EL5M.RU.ZS","EN.POP.EL5M.UR.ZS","EN.POP.EL5M.ZS","EN.URB.MCTY.TL.ZS","ER.H2O.FWTL.K3","ER.H2O.FWTL.ZS","ER.LND.PTLD.ZS","ER.MRN.PTMR.ZS","ER.PTD.TOTL.ZS","IC.BUS.EASE.XQ","IQ.CPA.PUBS.XQ","IS.ROD.PAVE.ZS","NV.AGR.TOTL.ZS","SE.ENR.PRSC.FM.ZS","SE.PRM.CMPT.ZS","SH.DYN.MORT","SH.MED.CMHW.P3","SH.STA.MALN.ZS","SI.POV.DDAY","SP.POP.GROW","SP.POP.TOTL","SP.URB.GROW","SP.URB.TOTL","SP.URB.TOTL.IN.ZS"
"ABW","Aruba",20,11.1111111111111,11.1111111111111,4.278098583,2.352464008,8.57979393,4.717903532,7.07036754,4.2,2.33333333333333,NA,NA,NA,4.2446335956983,100,NA,NA,NA,NA,NA,14.8561614426793,NA,NA,8.0241003036499,NA,NA,NA,NA,0,NA,NA,NA,883.747,NA,NA,NA,NA,0,NA,NA,-33.3333333333333,NA,NA,NA,NA,52.8353407833008,NA,-45.1195274277534,NA,NA,NA,NA,NA,2.351122785,4.71804376,7.069166545,NA,NA,NA,18.9175762600279,0.000105156683687689,0.141163456065734,NA,NA,NA,0.440397943214845,1.02155995368958,101.180557250977,NA,NA,NA,NA,0.428016948088116,106766,0.774630546446726,46654,43.697
"AFG","Afghanistan",379190,58.0813650706124,11.7988542719726,NA,NA,NA,NA,NA,12084.4,1.85099408755323,5.13462907777104,327,2164.9,0.12132303904438,97.7,NA,NA,NA,NA,NA,86.0501112508465,NA,NA,21.422700881958,NA,NA,NA,NA,319.029,4.31703653585927,0.35448995871661,7440,3476.316,47.0408119079838,0.200151071015376,0.0961046984800509,0.0984121541403353,4829.439,65.35100135318,-1800.00357818604,118.125000000016,98920,43.5287644039078,NA,81510,80.4394840827628,8960,24.5794148999171,NA,NA,NA,NA,1.05929016894999,NA,NA,NA,10.8443665760121,20.282,43.0159066808059,0.104707034792812,NA,0.104707034792812,173,2.6,NA,27.0135607698968,0.636020004749298,85.6253280639648,60.3,NA,19.1,NA,2.30381209309418,38928341,3.35442115854384,10131490,26.026
"AGO","Angola",569524.9,45.6825940482875,3.93037619314992,1516.944458,0.121391911,54.13067627,0.004331751,0.125723662,666073.8,53.4269511510388,NA,1010,753.3,-4.58354677886438,45.6703147888184,0,53.1749283080705,0,0,46.8250716919295,53.1749283080705,0,0,56.7854995727539,66.0947372777668,312.228894512622,544.609443483916,2.36015839981942,1496.136,4.22517932787348,0.274399138229873,27340,17931.63,50.640016944366,0.88738036390839,0.124983643477086,0.127984477152705,0,0,5203.0671386719,7308.31228235701,79730,-18.0082669685745,31,35520,-13.9730509058595,16440,-79.4548816024683,0,0,NA,NA,1.01176467635625,0.241155861,1.194938507,1.436094368,25.3445204061502,0.7057,0.476824324324324,6.97142669594584,0.00492982714246822,5.00471082728009,177,2.3,10.3999996185303,9.42977299198621,0.630320012569427,46.1871490478516,74.7,NA,19,49.9,3.21853035205175,32866268,4.19296192786897,21962884,66.825
"ALB","Albania",11740.81,42.8496715328467,22.311897810219,1294.595459,4.562271722,84.84497833,0.299001393,4.861273115,7889,28.7919708029197,14.9904478481468,1485,4840.5,7.85669257172221,100,0,100,0,0,0,100,0,0,38.2663993835449,69.7734827886231,2309.36650255581,808.455839595944,2.23486361552126,161.348,3.27277890466531,0.38222386929274,5560,3362.639,68.2076876267749,1.93973156347946,0.143190801006241,0.145584469455718,14.668,0.297525354969574,11.6813595294998,-75.0142799006836,10080,-19.923895714756,105,3160,3.81856801834344,1100,-26.5410212950286,0,0,NA,NA,5.26957699339956,4.688154109,2.382806577,7.070960686,NA,1.188,4.41635687732342,17.7360953122157,2.71803297867369,13.5256825491485,82,3.3,NA,19.2520984919238,1.018630027771,103.322746276855,9.7,NA,1.5,1.3,-0.577942252408581,2837743,0.85386648009412,1762579,62.112
"AND","Andorra",188.3,40.063829787234,1.76595744680851,NA,NA,NA,NA,NA,160,34.0425531914894,NA,NA,NA,NA,100,NA,NA,NA,NA,NA,86.1167002012072,NA,NA,18.5060005187988,NA,NA,NA,NA,0,0,0.132352514857226,460,469.376,99.8672340425532,5.97340536048203,NA,NA,0,0,NA,NA,590,NA,NA,50,NA,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.7277247815139,NA,26.7277247815139,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,0.154134127179226,77265,0.0765809586482714,67928,87.916
"ARE","United Arab Emirates",3817.5,5.37524640946212,0.595606871303858,2611.439453,3.299635627,1198.020996,1.513737091,4.813372718,3173,4.46775556181357,21.4014407334643,78,27582.1,3.2738262078469,100,0,0,98.5255091625709,0,1.24208972567247,0.23240111175667,2.96e+08,0.23240111175667,0.259200006723404,122.612447881364,11088.3418625766,7648.39407339686,2.60863290905919,135022.607,67.694077509275,0.503238098536168,200300,52335.424,26.238556101474,20.7974984025486,0.303276122374575,0.310557724796412,6985.635,3.50227363882483,-16708.68762207,68.4397163120569,263240,182.610679297568,0,52960,91.9708069969131,7140,129.223878223534,384,1038,NA,NA,NA,1.618829257,13.16580722,14.784636477,61.1280534659872,2.562,1708,17.9549206384619,11.2703538609644,15.0438947733197,16,NA,NA,0.73084017039957,0.948279976844788,103.520202636719,7.5,NA,NA,0,1.21942868246666,9890400,1.51740240268717,8609395,87.048
"ARG","Argentina",1487680,54.3605596541808,14.3238729998648,22906.61719,0.834393435,1605.261963,0.058473062,0.892866497,285730,10.4407148781923,0.935062647881265,591,4671.4,1.49582091110702,100,2.02956738894983,26.2415750877847,49.4822602564899,4.16672699106716,15.4231944645654,28.1400691239471,2.752e+09,1.89849403616245,10.5207996368408,86.1959357483385,3074.70207056563,2029.92282543737,2.07710390733366,102268.963,55.4965069459518,0.396757279618362,177410,88792.738,48.1835999565878,3.9872341980589,0.171082995881062,0.17519066630163,3010.607,1.63371337095724,3701.72753906201,100.453613040433,365650,42.670472348204,506,117850,-13.3289264618007,47930,37.857406140598,134,444,3.25,NA,0.167189950512828,0.964062023,2.064850675,3.028912698,42.8201985231957,37.69,12.9075342465753,8.80825141581955,3.79699243606319,7.40512875012761,126,NA,NA,6.83608019121494,1.01962995529175,99.962760925293,9.3,NA,1.7,1.5,0.970053991438048,45376763,1.10041505272326,41796990,92.111
"ARM","Armenia",16773,58.9146469968388,15.6515630488233,NA,NA,NA,NA,NA,3284.7,11.5374077976818,9.23508018839802,562,2623.6,1.85826759386502,100,0,28.2856776509809,35.9148608795999,31.8064516129032,0,28.3369662777279,4e+06,0.0512886267470189,11.1330003738403,92.1891786193836,1961.61039526467,1015.90988609749,1.85214038818564,4191.381,82.6702366863905,0.426673299404519,5550,828.742,16.3459960552268,1.88024626821933,0.144407760118136,0.147874963165889,3.667,0.07232741617357,722.15512084961,511.527389940306,9360,-50.184265444283,565,2430,18.5478774252172,1170,27.0430884455649,0,0,3,NA,0.478231100921505,NA,NA,NA,36.658427920306,2.865,41.7699373086456,23.1105028060216,NA,23.1105028060216,47,3.7,NA,11.7173127255744,1.03489995002747,93.1385192871094,11.8,NA,2.6,1.1,0.185983344838062,2963234,0.334547576037799,1876112,63.313
"ASM","American Samoa",49,24.5,15,4.429729939,2.173469766,2.816686869,1.382021892,3.555491658,171.3,85.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.885478158205431,NA,NA,2.85660004615784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,433.333333333332,NA,188.329466364967,NA,NA,48.3427439057495,NA,2509.80624536789,NA,NA,NA,NA,0.000261754979888492,1.302508961,1.968505142,3.271014103,NA,NA,NA,15.8477447307274,8.71587580537483,8.71956554004454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.208127919920259,55197,-0.201435032653205,48106,87.153
"ATG","Antigua and Barbuda",90,20.4545454545455,9.09090909090909,32.37356186,7.456981483,24.97379875,5.752507421,13.209488904,81.2,18.4545454545455,NA,1030,1583.9,8.3916831947962,100,NA,NA,NA,NA,NA,0,NA,NA,0.904900014400482,73.9023007799197,NA,1737.49538849683,3.15068493150685,0,0,0.365187343269656,530,557.384,111.4768,5.50466338464095,0.25561081061911,0.261747977907713,0,0,471.23656129837,748754.96183198,1210,48.4732937384064,NA,200,21.8598229271095,20,54.528507390805,NA,NA,2.75,NA,NA,3.190235403,8.639313095,11.829548498,NA,0.0044,8.46153846153846,18.5696736890488,0.181504473350006,0.258339766209328,113,NA,NA,2.13628011914172,0.979240000247955,96.1988296508789,6.6,NA,NA,NA,0.833667148911523,97928,0.53639654235646,23927,24.433
